,precision,recall,f1-score,support,data
economy,0.7410023545240498,0.7604418363824647,0.750596252129472,2897.0,testing
external relations,0.7615803814713896,0.7710344827586207,0.7662782727895819,725.0,testing
fabric of society,0.6628527841342486,0.6821036106750392,0.6723404255319149,1274.0,testing
freedom and democracy,0.6122840690978887,0.5636042402826855,0.5869365225390984,566.0,testing
no topic,0.3333333333333333,0.00980392156862745,0.019047619047619046,102.0,testing
political system,0.5838323353293413,0.49159663865546216,0.5337591240875912,1190.0,testing
social groups,0.5799126637554585,0.5839929639401935,0.5819456617002629,1137.0,testing
welfare and quality of life,0.7414297103374967,0.7834877843302444,0.7618787547788095,3561.0,testing
economy,0.6535433070866141,0.5763888888888888,0.6125461254612545,720.0,target
external relations,0.6774193548387096,0.6702127659574468,0.6737967914438502,94.0,target
fabric of society,0.5435203094777563,0.6504629629629629,0.5922023182297155,432.0,target
freedom and democracy,0.5330073349633252,0.4,0.4570230607966457,545.0,target
no topic,0.0,0.0,0.0,192.0,target
political system,0.4716358839050132,0.6694756554307116,0.5534055727554179,1068.0,target
social groups,0.5,0.4584615384615385,0.478330658105939,325.0,target
welfare and quality of life,0.7140804597701149,0.6299112801013942,0.6693602693602694,789.0,target
economy,0.7475103416577294,0.698097009586493,0.7219591595146493,6989.0,future
external relations,0.6632705043301069,0.738933030646992,0.6990604026845637,1762.0,future
fabric of society,0.678298800436205,0.6303521662021788,0.6534471437951411,3947.0,future
freedom and democracy,0.6739265712507778,0.57,0.6176218990590248,1900.0,future
no topic,0.0,0.0,0.0,29.0,future
political system,0.5189075630252101,0.5404814004376368,0.5294748124330118,2285.0,future
social groups,0.5452096960369373,0.6725201708590413,0.6022099447513812,2107.0,future
welfare and quality of life,0.7306498114881348,0.7534591194968554,0.7418791870742555,8745.0,future
